abbrev,state,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming
SD,South Dakota,0,0,0,2,4,2,0,0,0,1,0,0,3,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,2,1,0,0,0,0,0,1,1,0,0,0,0,N/A,0,1,0,0,1,1,0,0,0
TN,Tennessee,0,14,9,1,6,5,0,0,1,17,31,0,0,0,4,4,2,12,4,2,1,0,6,2,2,28,0,9,0,0,0,1,0,0,6,4,2,1,5,0,5,2,N/A,16,0,8,0,0,0,1,0
TX,Texas,1,15,22,18,111,46,6,1,5,50,34,3,1,1,23,15,20,9,29,6,8,2,11,6,14,8,2,8,0,2,1,9,25,13,27,10,34,8,11,0,3,0,23,N/A,5,17,1,16,6,1,4
UT,Utah,0,0,0,11,22,6,0,0,0,4,4,0,0,5,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,11,0,1,1,3,1,0,1,0,0,4,N/A,4,0,7,0,1,0
VA,Virginia,0,1,2,6,14,6,0,60,2,40,11,0,1,1,6,1,0,9,1,5,114,1,6,1,3,0,0,40,0,0,2,3,0,0,11,10,0,2,12,1,4,1,11,12,0,N/A,1,4,4,6,0
VT,Vermont,0,0,0,1,0,2,1,0,0,3,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,1,0,0,11,0,0,1,3,1,0,0,0,0,0,0,0,0,0,1,N/A,1,0,0,0
WA,Washington,2,1,1,12,40,6,0,2,1,5,1,7,0,18,5,0,0,0,0,0,2,0,4,3,0,1,6,1,0,1,1,0,0,4,3,2,0,41,3,1,1,2,1,6,1,1,1,N/A,1,0,1
WI,Wisconsin,0,0,0,8,9,1,3,0,0,23,0,2,3,1,31,5,1,1,2,4,1,0,6,14,5,0,1,1,1,0,0,1,0,0,0,1,0,1,2,0,1,1,1,0,0,0,0,2,N/A,0,1
WV,West Virginia,0,0,0,0,1,1,0,0,0,11,0,0,0,0,1,0,0,4,2,0,8,0,0,0,0,1,0,5,0,0,0,1,0,0,2,17,3,0,8,0,1,0,1,1,0,4,0,0,0,N/A,0
WY,Wyoming,1,0,0,6,3,5,0,0,0,1,0,0,0,1,2,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,2,1,0,2,0,1,1,0,2,1,3,1,0,0,0,0,1,N/A
