abbrev,state,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,total_imm,total_emm
HI,Hawaii,11,10,6,69,394,64,7,4,3,104,33,N/A,5,23,13,7,13,6,4,21,24,5,11,18,12,4,6,29,1,4,4,14,19,71,28,10,15,96,18,1,20,3,20,118,34,55,1,99,6,2,5,1689,1550
IA,Iowa,1,23,47,166,142,161,14,8,3,259,45,11,N/A,13,403,54,95,27,13,16,26,5,54,336,271,19,18,68,13,390,3,12,18,29,30,54,43,35,34,3,33,180,68,234,17,35,2,38,179,5,13,2964,3766
ID,Idaho,19,16,12,146,216,126,5,2,3,65,21,16,8,N/A,30,15,9,6,6,6,11,4,13,27,31,8,108,28,32,18,3,8,30,90,24,16,15,248,15,1,13,5,22,115,266,27,0,476,20,2,41,3530,2444
IL,Illinois,9,101,94,636,941,398,71,61,27,1698,375,26,510,30,N/A,1135,101,219,53,146,119,18,506,224,875,58,30,341,33,63,26,151,69,162,301,310,71,78,277,16,217,24,427,932,55,215,7,158,1165,19,24,9460,13602
IN,Indiana,4,71,28,207,256,141,12,12,8,927,184,15,36,21,790,N/A,36,532,22,60,49,3,475,61,113,25,11,171,8,16,14,115,28,52,77,464,32,45,112,6,112,9,233,336,32,119,6,51,96,18,5,5772,6256
KS,Kansas,2,28,84,161,134,258,7,4,10,260,78,17,81,22,105,35,N/A,29,44,22,25,8,30,52,1621,14,18,84,14,134,3,22,35,34,39,54,296,29,42,1,42,22,69,453,19,73,1,58,25,6,11,4325,4715
KY,Kentucky,7,95,35,69,130,68,15,14,9,601,180,11,23,6,194,612,30,N/A,44,26,33,6,108,29,100,29,9,157,5,11,4,30,21,19,56,669,33,19,79,4,110,3,521,256,15,133,5,36,40,71,5,4309,4785
LA,Louisiana,16,229,250,85,262,120,13,18,6,495,280,10,22,7,79,52,50,48,N/A,32,53,9,65,28,90,596,15,145,9,9,7,35,44,58,86,89,89,44,76,3,74,5,221,2016,24,101,1,61,28,14,11,3645,6180
MA,Massachusetts,5,22,13,130,613,133,466,77,31,1288,154,16,11,14,134,42,12,31,36,N/A,151,338,80,64,57,3,5,302,4,9,1153,224,31,47,636,91,11,51,239,614,165,5,63,331,32,227,119,90,52,8,10,6657,8440
MD,Maryland,11,53,22,142,463,162,76,1303,514,1281,281,24,20,12,159,83,25,40,42,162,N/A,48,84,38,62,16,6,544,2,12,22,209,42,66,337,146,26,51,886,18,311,6,117,438,47,2090,30,84,44,235,5,9073,10897
ME,Maine,6,12,6,35,57,17,39,10,6,267,25,3,6,7,9,5,4,9,4,199,34,N/A,12,8,12,4,5,68,2,4,198,40,8,4,52,23,6,16,38,24,45,1,25,32,7,46,21,17,7,2,2,1752,1489
